FEATURE ANALYSIS
=====================================================================================================================================================================================================================================================
Section 1 = Individual (duplicated)   |   Section 2 = Accumulated w/ descendants (duplicated)   ||   Section 3 = Deduplicated (each physical source line counted once)
=====================================================================================================================================================================================================================================================

                                                             --- Individual (dup) ---                  |                --- Accumulated (dup) ---                ||       -- Dedup Individual --         |       -- Dedup Accumulated --      
Feature                                           LOC    LLOC    LOC%   LLOC%   Files    Scat     Tang  |     LOC    LLOC    LOC%   LLOC%   Files    Scat     Tang ||     LOC    LLOC    LOC%   LLOC%  |     LOC    LLOC    LOC%   LLOC%
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
----Registration                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Registration_Exception                         0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
------Registration_Lock                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-------Registration_Lock_Verification               0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Account_Restore                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Create_Account                                  0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Account_Deletion                                 0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Device_Authentication                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Device_Authentication_Token                     0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Device_Verification                             0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
-----Device_Validation                              0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Device_Check                                    0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Server_Authentication                            0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
----Authenticated_Server_Path                       0       0    0.00    0.00       0       0     0.00  |       0       0    0.00    0.00       0       0     0.00 ||       0       0    0.00    0.00  |       0       0    0.00    0.00
---Token_Validation                                10      10    0.01    0.01       3       3     2.50  |      10      10    0.01    0.01       3       3     2.50 ||      10      10    0.01    0.01  |      10      10    0.01    0.01
---Token_Authentication                            20      20    0.02    0.03       2       2     2.45  |      48      46    0.05    0.06       4       4     2.48 ||      20      20    0.02    0.03  |      48      46    0.05    0.06
----Token_Generation                               28      26    0.03    0.04       3       3     2.50  |      28      26    0.03    0.04       3       3     2.50 ||      28      26    0.03    0.04  |      28      26    0.03    0.04
---Ldap_Authentication                            277     216    0.26    0.29       4       4     1.22  |     277     216    0.26    0.29       4       4     1.22 ||     277     216    0.26    0.29  |     277     216    0.26    0.29
---Bearer_Authentication                            2       2    0.00    0.00       1       1     2.00  |       2       2    0.00    0.00       1       1     2.00 ||       2       2    0.00    0.00  |       2       2    0.00    0.00
---Mail_Authentication                             13       6    0.01    0.01       1       1     1.00  |      13       6    0.01    0.01       1       1     1.00 ||      13       6    0.01    0.01  |      13       6    0.01    0.01
---SMS_Authentication                              13       6    0.01    0.01       1       1     1.00  |      13       6    0.01    0.01       1       1     1.00 ||      13       6    0.01    0.01  |      13       6    0.01    0.01
---MQTT_Authentication                             15      15    0.01    0.02       1       1     1.00  |      15      15    0.01    0.02       1       1     1.00 ||      15      15    0.01    0.02  |      15      15    0.01    0.02
--Authorization                                     0       0    0.00    0.00       0       0     0.00  |    1577    1379    1.48    1.87      46      46     1.48 ||       0       0    0.00    0.00  |    1349    1161    1.27    1.58
